phi,x_h2,T_ad,CO2,H2O,CO,NO,NO2,OH,H2,O2
1.275,0.4,2120.415744690745,0.04502148394968533,0.2065096222093582,0.049725678045201706,6.436033745477232e-05,6.213290988334913e-10,0.00042043097983365465,0.045561857138155845,9.524225195519022e-06
1.3,0.4,2102.32761610094,0.043246659280734775,0.2048517773845996,0.05271126506280135,4.85544530325051e-05,3.811782850165981e-10,0.0003441037369633564,0.05050828563616486,5.96636454422392e-06
1.3250000000000002,0.4,2084.3287210026774,0.04161669236072511,0.20307209708705384,0.05553496045981371,3.6838926632422556e-05,2.367314922359913e-10,0.00028213870704891353,0.055524530828771373,3.7843234050825302e-06
1.35,0.4,2066.4422460995675,0.04011881727642276,0.20118828106788492,0.0582100315521242,2.8086475402983664e-05,1.4857975031835464e-10,0.00023167587141907647,0.06059517683527634,2.4261067027431587e-06
1.375,0.4,2048.682635854757,0.03874098197392551,0.19921570185909296,0.060748971078097,2.1502631710077885e-05,9.410214554506722e-11,0.00019046744337130277,0.06570678059701089,1.569746015969435e-06
1.4,0.4,2031.0586991585083,0.037472034030954844,0.1971677429242721,0.06316332943735023,1.652045237523857e-05,6.00655346319334e-11,0.00015673677719591224,0.07084762933436829,1.0237469553720254e-06
1.425,0.4,2013.575564146586,0.036301783700620774,0.19505607098391958,0.06546366314255808,1.2730757449694697e-05,3.859765783585417e-11,0.00012907160040100387,0.07600753410443817,6.722352303977675e-07
1.4500000000000002,0.4,1996.2359319365416,0.03522099747508118,0.19289086346606787,0.06765954869808187,9.835209505726869e-06,2.494550132450842e-11,0.00010634317381720758,0.08117764835868028,4.440174666549725e-07
1.475,0.4,1979.0408962695017,0.03422135351023721,0.1906810026605739,0.06975963221814199,7.614296159838267e-06,1.62015703204374e-11,8.764482262564058e-05,0.08635030640029762,2.947585568968038e-07
1.5,0.4,1961.9904851406652,0.03329537762621455,0.18843424329052474,0.07177169684644562,5.9051829752416e-06,1.0566649059436631e-11,7.22449098850997e-05,0.09151887917398151,1.9651789276223965e-07
1.5250000000000001,0.4,1945.0840242916236,0.03243637112627614,0.18615735799165298,0.07370273741085566,4.586199438542959e-06,6.915945082776803e-12,5.955061509257836e-05,0.09667764580685148,1.3150014164736511e-07
1.55,0.4,1928.3203805123267,0.0316383370917258,0.1838562637193918,0.07555903582213819,3.565843846354046e-06,4.5399403853798056e-12,4.9079836975551904e-05,0.10182167963710027,8.826523175185369e-08
1.575,0.4,1911.6981272668713,0.030895909022151714,0.1815361317440699,0.07734623374475676,2.774907119978328e-06,2.987516494342243e-12,4.0439249353683714e-05,0.10694674752814459,5.939780321679067e-08
1.6,0.4,1895.2156566410756,0.030204283893867714,0.1792014832286964,0.0790694004902758,2.1607750713849507e-06,1.9698459859616988e-12,3.330704785516622e-05,0.11204922128170362,4.00561779621026e-08
0.5,0.6,1526.5349696042133,0.03580214687697862,0.1252638507390687,8.272968857946944e-07,0.0009244808838130026,3.134485702523712e-06,9.077910367825117e-05,1.0731230880752039e-06,0.09797001819529792
0.525,0.6,1575.2222799716558,0.03747346778327842,0.1310929581653845,1.7616596606828797e-06,0.0011214309862806078,3.219290311511976e-06,0.00013615250648694354,2.124838061303451e-06,0.09264410211386612
0.55,0.6,1622.9672713357693,0.039133262754228494,0.13687580963510237,3.553235162083045e-06,0.0013349632384847827,3.2755382399413883e-06,0.00019763343251376095,4.010965898973775e-06,0.08733843298249733
0.575,0.6,1669.7802784998437,0.04078090743418412,0.14261019948872372,6.830536575856568e-06,0.0015621451222709501,3.30268218189454e-06,0.0002785709448762617,7.257276234629116e-06,0.08205368111398396
0.6,0.6,1715.6667466375436,0.04241539043742117,0.14829353269223244,1.2581252747269047e-05,0.0017993979963302612,3.3004642565412917e-06,0.00038235765294855015,1.2645342813369294e-05,0.07679110773036932
0.625,0.6,1760.626350969665,0.04403515252246854,0.1539227874239775,2.2306299737436134e-05,0.0020425248986813663,3.268892383523e-06,0.0005122558721323619,2.1305124474468212e-05,0.07155272996592035
0.65,0.6,1804.65182526211,0.045637876767776815,0.15949446093420358,3.822094741424023e-05,0.0022867350166261057,3.2082275810152873e-06,0.0006711888084512036,3.483198595698243e-05,0.06634154110345886
